run,scenario,file_size_bytes,chunk_size_bytes,window_size,timeout_s,max_retries,delay_ms,loss_probability,original_data_packets,total_data_packets,retransmitted_packets,ack_packets_sent,ack_packets_received,data_packets_lost,ack_packets_lost,useful_data_bytes,data_bytes_sent,ack_bytes_sent,total_bytes_sent,duration_s,throughput_bps,network_throughput_bps,mean_rtt_s,efficiency_ratio
18,A,524288,1024,4,1.0,100,10,0.0,512,1611,1099,1611,1611,0,0,524288,1649664,64440,1714104,281.92320267545574,1859.6837543859406,6080.038761382977,0.282603490211293,0.15890751086281812
18,B,524288,1024,4,1.0,100,50,0.1,512,1861,1349,1663,1494,198,169,524288,1905664,66520,1972184,370.31579372457816,1415.7862259310994,5325.681576159857,0.4509736005440252,0.1452894438138479
18,C,524288,1024,4,1.0,100,100,0.2,512,2179,1667,1762,1387,417,375,524288,2231296,70480,2301776,484.4933062769496,1082.1367255387893,4750.893294456047,0.7333311887325411,0.12991626490738392
19,A,524288,1024,4,1.0,100,10,0.0,512,1606,1094,1606,1606,0,0,524288,1644544,64240,1708784,280.87789949255153,1866.6046739426836,6083.725359265279,0.27855106243160144,0.15940224159402241
19,B,524288,1024,4,1.0,100,50,0.1,512,1820,1308,1611,1440,209,171,524288,1863680,64440,1928120,359.1581143775431,1459.7693300307124,5368.4433758140885,0.4743254559285909,0.14922763042844653
19,C,524288,1024,4,1.0,100,100,0.2,512,2025,1513,1645,1334,380,311,524288,2073600,65800,2139400,446.5610028003678,1174.0568404142077,4790.834816707908,0.6564896416891043,0.13950953678474115
20,A,524288,1024,4,1.0,100,10,0.0,512,1606,1094,1606,1606,0,0,524288,1644544,64240,1708784,280.99088581290084,1865.8541129661398,6081.279095784631,0.2890257093431628,0.15940224159402241
20,B,524288,1024,4,1.0,100,50,0.1,512,1864,1352,1686,1527,178,159,524288,1908736,67440,1976176,371.51261021486107,1411.2253139853924,5319.270317250055,0.46303826605274906,0.14422535211267606
20,C,524288,1024,4,1.0,100,100,0.2,512,2128,1616,1707,1339,421,368,524288,2179072,68280,2247352,472.4140833740674,1109.8060334176316,4757.165544153559,0.707835590541689,0.13350717079530638
21,A,524288,1024,4,1.0,100,10,0.0,512,1630,1118,1630,1630,0,0,524288,1669120,65200,1734320,285.99612504867775,1833.1996627953051,6064.138105734165,0.295355472488996,0.1570552147239264
21,B,524288,1024,4,1.0,100,50,0.1,512,1899,1387,1699,1526,200,173,524288,1944576,67960,2012536,380.21963306936084,1378.9082793216987,5293.088060060452,0.49754874962185835,0.1423012784880489
21,C,524288,1024,4,1.0,100,100,0.2,512,2146,1634,1709,1364,437,345,524288,2197504,68360,2265864,476.3284995574759,1100.6857672532296,4756.93560663504,0.7509322421460637,0.13281452658884565
22,A,524288,1024,4,1.0,100,10,0.0,512,1627,1115,1627,1627,0,0,524288,1666048,65080,1731128,285.94591712686656,1833.5215458501805,6054.039929627478,0.27463152878586006,0.15734480639213275
22,B,524288,1024,4,1.0,100,50,0.1,512,1862,1350,1673,1505,189,168,524288,1906688,66920,1973608,371.4545962459783,1411.4457198769321,5313.187721853013,0.47762195825135234,0.14483734087694483
22,C,524288,1024,4,1.0,100,100,0.2,512,2150,1638,1726,1364,424,362,524288,2201600,69040,2270640,478.6020165706512,1095.4571477920313,4744.317661404605,0.7035878076317694,0.13209494324045407
23,A,524288,1024,4,1.0,100,10,0.0,512,1669,1157,1669,1669,0,0,524288,1709056,66760,1775816,296.14929859449734,1770.3503013116426,5996.353894565651,0.3007235046710309,0.15338526063511085
23,B,524288,1024,4,1.0,100,50,0.1,512,1870,1358,1675,1518,195,157,524288,1914880,67000,1981880,372.9653530231111,1405.7284295989607,5313.8447953292625,0.48233815241406286,0.14442877291960507
23,C,524288,1024,4,1.0,100,100,0.2,512,2130,1618,1709,1374,421,335,524288,2181120,68360,2249480,472.121194828825,1110.4945207767867,4764.624051279004,0.7235778961626899,0.1333680646001563
24,A,524288,1024,4,1.0,100,10,0.0,512,1612,1100,1612,1612,0,0,524288,1650688,64480,1715168,280.8985810640211,1866.4672424262149,6106.004499926922,0.2727068954779611,0.1588089330024814
24,B,524288,1024,4,1.0,100,50,0.1,512,1792,1280,1607,1455,185,152,524288,1835008,64280,1899288,353.80720121074427,1481.846605173277,5368.1439877440325,0.4470615135854862,0.15063253898205353
24,C,524288,1024,4,1.0,100,100,0.2,512,2175,1663,1742,1399,433,343,524288,2227200,69680,2296880,488.9579489964447,1072.255806610912,4697.500070740645,0.7121273970866825,0.13071227980597397
25,A,524288,1024,4,1.0,100,10,0.0,512,1664,1152,1664,1664,0,0,524288,1703936,66560,1770496,295.116657636879,1776.5449236183097,5999.308931515737,0.3076804705553684,0.15384615384615385
25,B,524288,1024,4,1.0,100,50,0.1,512,1893,1381,1703,1535,190,168,524288,1938432,68120,2006552,380.382218448508,1378.318897603707,5275.094109772707,0.5041303676789846,0.14238042269187987
25,C,524288,1024,4,1.0,100,100,0.2,512,2078,1566,1669,1323,409,346,524288,2127872,66760,2194632,463.26145299554497,1131.7324085780172,4737.350767712385,0.6620936880566328,0.13664264745129437
26,A,524288,1024,4,1.0,100,10,0.0,512,1707,1195,1707,1707,0,0,524288,1747968,68280,1816248,305.30009273345183,1717.2873919096376,5949.058134042922,0.2963653784984208,0.14997070884592853
26,B,524288,1024,4,1.0,100,50,0.1,512,1846,1334,1666,1490,180,176,524288,1890304,66640,1956944,365.2949784075773,1435.2455713613083,5357.160967640083,0.4807728949742596,0.14578587699316628
