experiment,run,scenario,file_size_bytes,chunk_size_bytes,window_size,timeout_s,max_retries,delay_mean_ms,delay_std_ms,loss_probability,original_data_packets,total_data_packets,retransmitted_packets,ack_packets_sent,ack_packets_received,data_packets_lost,ack_packets_lost,useful_data_bytes,data_bytes_sent,ack_bytes_sent,total_bytes_sent,duration_s,throughput_bps,network_throughput_bps,mean_rtt_s,efficiency_ratio
file_size_curve,2,A,5242880,1024,4,1.0,100,10,0.0,0.0,5120,5120,0,5120,5120,0,0,5242880,5242880,204800,5447680,25.600000000001202,204799.9999999904,212799.99999999002,0.02000000000000094,0.5
file_size_curve,2,B,5242880,1024,4,1.0,100,50,0.0,0.1,5120,7364,2244,6596,5939,768,657,5242880,7540736,263840,7804576,713.6999999999758,7346.055765728146,10935.373406193448,0.139818089944398,0.3667621776504298
file_size_curve,2,C,5242880,1024,4,1.0,100,100,0.0,0.2,5120,10172,5052,8112,6499,2060,1613,5242880,10416128,324480,10740608,1630.1999999999093,3216.096184517416,6588.521653785178,0.3418064317586707,0.28002625246116825
file_size_curve,3,A,5242880,1024,4,1.0,100,10,0.0,0.0,5120,5120,0,5120,5120,0,0,5242880,5242880,204800,5447680,25.600000000001202,204799.9999999904,212799.99999999002,0.02000000000000094,0.5
file_size_curve,3,B,5242880,1024,4,1.0,100,50,0.0,0.1,5120,7330,2210,6629,5926,701,703,5242880,7505920,265160,7771080,706.599999999981,7419.869799037844,10997.848853665735,0.14103948700639785,0.3667884518948349
file_size_curve,3,C,5242880,1024,4,1.0,100,100,0.0,0.2,5120,10600,5480,8435,6816,2165,1619,5242880,10854400,337400,11191800,1745.5999999998937,3003.483043079926,6411.434463795074,0.35516431924875264,0.26897819805621226
file_size_curve,4,A,5242880,1024,4,1.0,100,10,0.0,0.0,5120,5120,0,5120,5120,0,0,5242880,5242880,204800,5447680,25.600000000001202,204799.9999999904,212799.99999999002,0.02000000000000094,0.5
file_size_curve,4,B,5242880,1024,4,1.0,100,50,0.0,0.1,5120,7252,2132,6578,5914,674,664,5242880,7426048,263120,7689168,684.6999999999837,7657.192931210931,11229.98101358286,0.14004058167059988,0.37020968908170643
file_size_curve,4,C,5242880,1024,4,1.0,100,100,0.0,0.2,5120,10247,5127,8239,6596,2008,1643,5242880,10492928,329560,10822488,1649.7999999999074,3177.8882288764057,6559.878773184996,0.35421467556088204,0.27696635291572
file_size_curve,5,A,5242880,1024,4,1.0,100,10,0.0,0.0,5120,5120,0,5120,5120,0,0,5242880,5242880,204800,5447680,25.600000000001202,204799.9999999904,212799.99999999002,0.02000000000000094,0.5
file_size_curve,5,B,5242880,1024,4,1.0,100,50,0.0,0.1,5120,7364,2244,6628,5928,736,700,5242880,7540736,265120,7805856,715.7999999999765,7324.504051411249,10905.079631182252,0.13738191632926774,0.3659233847913093
file_size_curve,5,C,5242880,1024,4,1.0,100,100,0.0,0.2,5120,10159,5039,8132,6482,2027,1650,5242880,10402816,325280,10728096,1627.1999999999075,3222.0255653885806,6592.979351032823,0.3392283950616675,0.27991908588923514
file_size_curve,6,A,5242880,1024,4,1.0,100,10,0.0,0.0,5120,5120,0,5120,5120,0,0,5242880,5242880,204800,5447680,25.600000000001202,204799.9999999904,212799.99999999002,0.02000000000000094,0.5
file_size_curve,6,B,5242880,1024,4,1.0,100,50,0.0,0.1,5120,7268,2148,6583,5912,685,671,5242880,7442432,263320,7705752,690.599999999982,7591.7752678831985,11158.053866203592,0.13741542625167794,0.3696484008374847
file_size_curve,6,C,5242880,1024,4,1.0,100,100,0.0,0.2,5120,10062,4942,8087,6491,1975,1596,5242880,10303488,323480,10626968,1600.1999999999255,3276.3904511937535,6641.024871891323,0.3486207427954455,0.2821092071188495
file_size_curve,7,A,5242880,1024,4,1.0,100,10,0.0,0.0,5120,5120,0,5120,5120,0,0,5242880,5242880,204800,5447680,25.600000000001202,204799.9999999904,212799.99999999002,0.02000000000000094,0.5
file_size_curve,7,B,5242880,1024,4,1.0,100,50,0.0,0.1,5120,7449,2329,6686,6049,763,637,5242880,7627776,267440,7895216,736.2999999999771,7120.575852234365,10722.824935488585,0.1430815010745396,0.36222143615139724
file_size_curve,7,C,5242880,1024,4,1.0,100,100,0.0,0.2,5120,10218,5098,8185,6549,2033,1636,5242880,10463232,327400,10790632,1645.9999999999027,3185.2247873634933,6555.6695018229875,0.35055733699795044,0.27821550834103137
file_size_curve,8,A,5242880,1024,4,1.0,100,10,0.0,0.0,5120,5120,0,5120,5120,0,0,5242880,5242880,204800,5447680,25.600000000001202,204799.9999999904,212799.99999999002,0.02000000000000094,0.5
